gameid,avg_kd,sum_likelihood
682796517002943090,1.0589226276905703,143,0.8510537610009871
13310639865586312367,1.0588848589640507,146,0.8533467880860952
9468572888852687639,1.0690000811301674,147,0.8991656650649107
3822515211259545713,0.8844872499144515,36,0.04406060607133764
12131720754419490984,0.8839016914534974,144,0.00025491499222047247
17595386997917459105,0.9070115988111986,146,0.0022310227065305724
8946173102915916365,1.1086041541593916,148,0.9777856529809589
3982337903248072051,0.9202130521590544,144,0.006988875450707479
16608783388566664018,1.1630421270527724,137,0.9911359788630382
9064111344057280287,1.1600711996493855,152,0.9904425675721534
9578940116967352110,0.8742094123649643,147,7.42776575614219e-05
4888004644709923397,0.8819740631547478,140,0.00024918817175228043
5170957916228289299,1.1483504725221891,149,0.9899416764494786
9698227037973344547,1.2146978447917371,152,0.9908808588617122
5398500259076711572,1.242050043745191,150,0.9910058146645698
2661425739242128661,1.0256621635945107,146,0.6088599799864848
1921339041701659792,1.109861660530893,135,0.9760284328383297
5572051408701251821,1.156836066459241,145,0.9905814921254161
8984077718700903397,0.8952067138458094,143,0.0008347991088305117
10431710583892168347,1.073986277463676,145,0.9151056723871989
6417982889009135716,1.2618814420564293,148,0.9911257535049551
7231457334850252546,1.1337153149354076,141,0.9879070584487707
7476677143600368338,0.8801388514424007,149,0.00013361271986807535
11470476699202299617,0.7311472272024474,144,1.9288631869577164e-16
9762176604257768052,0.9208213492303748,141,0.007884557202376907
8629040404255227664,0.940614400745119,87,0.07088709275302342
12393196194675112299,0.6764163018676831,141,3.6261479920677736e-23
12296543852805181778,0.7242297906367063,125,3.296255782836272e-15
3918038060474145180,0.7554948901780776,143,1.1158803618350969e-13
3320831491851303678,0.9511557036414672,151,0.048703931248683156
373460610762166717,0.6641503301182498,139,1.1872409758373752e-24
3960413258930096033,0.8433657889166921,138,2.5823189079411827e-06
472878991242938622,0.7110639125064435,129,4.1841656620125725e-17
5620408714152562974,0.7030580057642682,37,2.3272830551640565e-06
8821296518230317564,1.1420787979817135,145,0.9893828172894102
2827367443188528127,1.1583941847780221,144,0.9906883716787973
4611061286975898812,1.0352670303269553,141,0.6911115728774093
17920022376821521402,0.9259584929118768,144,0.010756631921842138
2038841503251223439,0.8994180973288075,139,0.0014339675766000004
10263742506239794789,0.9088294665932533,144,0.002784798858461454
9387991358742219489,0.9067687619275482,40,0.07073534046818451
17693309195276300539,0.9102274994129365,38,0.08343359363176599
15481873958277284946,0.9875290039021826,36,0.38202252803008346
6408421196258911467,1.1229303420183239,147,0.9852278115019066
10201183536604781805,0.8000508316216625,74,9.928182443829057e-06
2359344792012447963,0.9907349124588902,146,0.27654814610741474
16301397316329054115,0.862803749358727,140,2.8090037279791494e-05
15920070891855985214,1.4027789761575564,145,0.9913049938125197
6573573280802323490,1.3062838447504896,147,0.9911855900707814
1302472172270352200,0.9535655361371247,144,0.06017864074967251
14302281243990857479,0.8333509536954389,140,5.190737023561855e-07
879360265012351254,1.0403585864493563,149,0.7357388910886182
13155978005118833960,0.6361659209151953,128,6.730517043776599e-27
